id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,2020-12-19,Marketing,8412.0,"Street 63, City 15",9310477531,email_970@example.com
2,Name_436,62.0,50000.0,2020-06-04,Marketing,5493.0,"Street 16, City 37",7798851359,email_314@example.com
3,Name_861,61.0,60000.0,2022-08-19,HR,,"Street 55, City 36",4081836369,email_674@example.com
4,Name_271,36.0,70000.0,,Unknown,1687.0,"Street 64, City 14",5782357698,email_443@example.com
5,Name_107,78.0,60000.0,2017-09-12,IT,4143.0,"Street 22, City 44",4360871854,email_455@example.com
6,Name_72,35.0,60000.0,2024-02-11,IT,2126.0,"Street 57, City 1",6157251439,email_343@example.com
7,Name_701,73.0,60000.0,2017-11-03,Finance,5022.0,"Street 38, City 39",3853731636,email_874@example.com
8,Name_21,18.0,60000.0,2017-02-20,IT,2067.0,"Street 63, City 11",8123526066,email_104@example.com
9,Name_615,42.0,50000.0,2016-09-20,IT,7827.0,"Street 48, City 48",7846360315,email_527@example.com
10,Name_122,44.0,50000.0,2017-03-09,HR,5589.0,"Street 22, City 39",5673622087,email_784@example.com
11,Name_467,24.0,70000.0,2017-06-26,Finance,9011.0,,,
12,Name_215,61.0,60000.0,2022-09-03,IT,6675.0,"Street 45, City 15",6502402349,email_573@example.com
13,Name_331,59.0,70000.0,2023-11-11,IT,,"Street 93, City 22",3151807490,email_52@example.com
14,Name_459,46.0,60000.0,2022-06-01,Unknown,6380.0,"Street 13, City 26",5211566855,email_290@example.com
15,Name_88,48.0,60000.0,2022-09-03,IT,3743.0,"Street 28, City 10",7103605237,email_626@example.com
16,Name_373,61.0,60000.0,2024-09-29,HR,,"Street 80, City 31",7248139772,email_886@example.com
17,Name_100,60.0,60000.0,2018-05-12,IT,9048.0,"Street 31, City 48",5074525292,email_640@example.com
18,Name_872,53.0,60000.0,2020-04-20,IT,3206.0,"Street 87, City 6",5151927130,email_210@example.com
19,Name_664,36.0,50000.0,,Marketing,4432.0,"Street 73, City 37",9214999573,email_727@example.com
20,Name_131,23.0,70000.0,2023-05-01,IT,9523.0,"Street 36, City 29",1206343416,email_657@example.com
21,Name_662,42.0,60000.0,2020-02-17,Finance,7349.0,,,
22,Name_309,48.0,70000.0,2022-01-07,Marketing,,"Street 21, City 11",1859340840,email_80@example.com
23,Name_770,26.0,60000.0,2019-05-31,Finance,1785.0,"Street 53, City 45",3925666357,email_792@example.com
24,Name_344,37.0,70000.0,2020-08-24,Finance,4149.0,"Street 92, City 27",5284530733,email_978@example.com
25,Name_492,27.0,60000.0,2019-09-20,HR,2007.0,"Street 34, City 48",6880417391,email_928@example.com
26,Name_414,54.0,60000.0,2024-04-24,IT,1774.0,"Street 49, City 43",2628453447,email_481@example.com
27,Name_806,44.0,60000.0,,Finance,5905.0,"Street 34, City 33",7843066009,email_551@example.com
28,Name_386,30.0,70000.0,2016-05-22,IT,2675.0,"Street 74, City 6",5623165973,email_177@example.com
29,Name_192,58.0,70000.0,2019-06-12,IT,5702.0,"Street 22, City 15",1452087128,email_478@example.com
30,Name_956,19.0,60000.0,2022-08-26,HR,1330.0,"Street 23, City 18",3420016871,email_253@example.com
31,Name_277,67.0,70000.0,2020-01-25,HR,1261.0,,,
32,Name_161,38.0,50000.0,,Finance,4238.0,"Street 66, City 38",1203959942,email_469@example.com
33,Name_460,50.0,70000.0,2016-04-23,Finance,8614.0,"Street 84, City 13",9400468749,email_366@example.com
34,Name_314,41.0,60000.0,,Marketing,1774.0,"Street 31, City 22",6779344964,email_42@example.com
35,Name_22,70.0,50000.0,2017-02-16,IT,9572.0,"Street 21, City 22",8674667991,email_424@example.com
36,Name_253,61.0,50000.0,,IT,2614.0,"Street 45, City 43",6082563910,email_451@example.com
37,Name_748,59.0,70000.0,2023-02-15,HR,5816.0,"Street 81, City 15",6441201789,email_215@example.com
38,Name_857,51.0,60000.0,2024-04-21,HR,1521.0,"Street 43, City 50",5019080346,email_955@example.com
39,Name_561,77.0,60000.0,2024-12-29,Finance,5441.0,"Street 25, City 18",7055438500,email_506@example.com
40,Name_475,26.0,60000.0,2017-11-14,Marketing,7197.0,"Street 8, City 29",3955364046,email_711@example.com
41,Name_59,19.0,50000.0,2023-02-09,Marketing,9194.0,"Street 3, City 4",1401489222,email_246@example.com
42,Name_511,72.0,60000.0,2024-11-30,HR,8268.0,,,
43,Name_682,73.0,50000.0,2020-10-13,HR,8176.0,"Street 94, City 1",1032906367,email_543@example.com
