id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2020-12-19,"{""address"": ""Street 63, City 15"", ""phone"": ""9310477531"", ""email"": ""email_970@example.com""}",Marketing,8412.0
2,Name_436,62.0,50000,2020-06-04,"{""address"": ""Street 16, City 37"", ""phone"": ""7798851359"", ""email"": ""email_314@example.com""}",Marketing,5493.0
3,Name_861,61.0,60000,2022-08-19,"{""address"": ""Street 55, City 36"", ""phone"": ""4081836369"", ""email"": ""email_674@example.com""}",HR,
4,Name_271,36.0,70000,,"{""address"": ""Street 64, City 14"", ""phone"": ""5782357698"", ""email"": ""email_443@example.com""}",,1687.0
5,Name_107,78.0,60000,2017-09-12,"{""address"": ""Street 22, City 44"", ""phone"": ""4360871854"", ""email"": ""email_455@example.com""}",IT,4143.0
6,Name_72,35.0,,2024-02-11,"{""address"": ""Street 57, City 1"", ""phone"": ""6157251439"", ""email"": ""email_343@example.com""}",IT,2126.0
7,Name_701,73.0,60000,2017-11-03,"{""address"": ""Street 38, City 39"", ""phone"": ""3853731636"", ""email"": ""email_874@example.com""}",Finance,5022.0
8,Name_21,18.0,60000,2017-02-20,"{""address"": ""Street 63, City 11"", ""phone"": ""8123526066"", ""email"": ""email_104@example.com""}",IT,2067.0
9,Name_615,42.0,50000,2016-09-20,"{""address"": ""Street 48, City 48"", ""phone"": ""7846360315"", ""email"": ""email_527@example.com""}",IT,7827.0
10,Name_122,44.0,50000,2017-03-09,"{""address"": ""Street 22, City 39"", ""phone"": ""5673622087"", ""email"": ""email_784@example.com""}",HR,5589.0
11,Name_467,24.0,70000,2017-06-26,,Finance,9011.0
12,Name_215,61.0,,2022-09-03,"{""address"": ""Street 45, City 15"", ""phone"": ""6502402349"", ""email"": ""email_573@example.com""}",IT,6675.0
13,Name_331,59.0,70000,2023-11-11,"{""address"": ""Street 93, City 22"", ""phone"": ""3151807490"", ""email"": ""email_52@example.com""}",IT,
14,Name_459,46.0,,2022-06-01,"{""address"": ""Street 13, City 26"", ""phone"": ""5211566855"", ""email"": ""email_290@example.com""}",,6380.0
15,Name_88,48.0,,2022-09-03,"{""address"": ""Street 28, City 10"", ""phone"": ""7103605237"", ""email"": ""email_626@example.com""}",IT,3743.0
16,Name_373,61.0,,2024-09-29,"{""address"": ""Street 80, City 31"", ""phone"": ""7248139772"", ""email"": ""email_886@example.com""}",HR,
17,Name_100,60.0,60000,2018-05-12,"{""address"": ""Street 31, City 48"", ""phone"": ""5074525292"", ""email"": ""email_640@example.com""}",IT,9048.0
18,Name_872,53.0,60000,2020-04-20,"{""address"": ""Street 87, City 6"", ""phone"": ""5151927130"", ""email"": ""email_210@example.com""}",IT,3206.0
19,Name_664,36.0,50000,,"{""address"": ""Street 73, City 37"", ""phone"": ""9214999573"", ""email"": ""email_727@example.com""}",Marketing,4432.0
20,Name_131,23.0,70000,2023-05-01,"{""address"": ""Street 36, City 29"", ""phone"": ""1206343416"", ""email"": ""email_657@example.com""}",IT,9523.0
21,Name_662,42.0,60000,2020-02-17,,Finance,7349.0
22,Name_309,48.0,70000,2022-01-07,"{""address"": ""Street 21, City 11"", ""phone"": ""1859340840"", ""email"": ""email_80@example.com""}",Marketing,
23,Name_770,26.0,60000,2019-05-31,"{""address"": ""Street 53, City 45"", ""phone"": ""3925666357"", ""email"": ""email_792@example.com""}",Finance,1785.0
24,Name_344,37.0,70000,2020-08-24,"{""address"": ""Street 92, City 27"", ""phone"": ""5284530733"", ""email"": ""email_978@example.com""}",Finance,4149.0
25,Name_492,27.0,,2019-09-20,"{""address"": ""Street 34, City 48"", ""phone"": ""6880417391"", ""email"": ""email_928@example.com""}",HR,2007.0
26,Name_414,54.0,,2024-04-24,"{""address"": ""Street 49, City 43"", ""phone"": ""2628453447"", ""email"": ""email_481@example.com""}",IT,1774.0
27,Name_806,44.0,60000,,"{""address"": ""Street 34, City 33"", ""phone"": ""7843066009"", ""email"": ""email_551@example.com""}",Finance,5905.0
28,Name_386,30.0,70000,2016-05-22,"{""address"": ""Street 74, City 6"", ""phone"": ""5623165973"", ""email"": ""email_177@example.com""}",IT,2675.0
29,Name_192,58.0,70000,2019-06-12,"{""address"": ""Street 22, City 15"", ""phone"": ""1452087128"", ""email"": ""email_478@example.com""}",IT,5702.0
30,Name_956,19.0,,2022-08-26,"{""address"": ""Street 23, City 18"", ""phone"": ""3420016871"", ""email"": ""email_253@example.com""}",HR,1330.0
31,Name_277,67.0,70000,2020-01-25,,HR,1261.0
32,Name_161,38.0,50000,,"{""address"": ""Street 66, City 38"", ""phone"": ""1203959942"", ""email"": ""email_469@example.com""}",Finance,4238.0
33,Name_460,50.0,70000,2016-04-23,"{""address"": ""Street 84, City 13"", ""phone"": ""9400468749"", ""email"": ""email_366@example.com""}",Finance,8614.0
34,Name_314,41.0,,,"{""address"": ""Street 31, City 22"", ""phone"": ""6779344964"", ""email"": ""email_42@example.com""}",Marketing,1774.0
35,Name_22,70.0,50000,2017-02-16,"{""address"": ""Street 21, City 22"", ""phone"": ""8674667991"", ""email"": ""email_424@example.com""}",IT,9572.0
36,Name_253,61.0,50000,,"{""address"": ""Street 45, City 43"", ""phone"": ""6082563910"", ""email"": ""email_451@example.com""}",IT,2614.0
37,Name_748,59.0,70000,2023-02-15,"{""address"": ""Street 81, City 15"", ""phone"": ""6441201789"", ""email"": ""email_215@example.com""}",HR,5816.0
38,Name_857,51.0,,2024-04-21,"{""address"": ""Street 43, City 50"", ""phone"": ""5019080346"", ""email"": ""email_955@example.com""}",HR,1521.0
39,Name_561,77.0,,2024-12-29,"{""address"": ""Street 25, City 18"", ""phone"": ""7055438500"", ""email"": ""email_506@example.com""}",Finance,5441.0
40,Name_475,26.0,,2017-11-14,"{""address"": ""Street 8, City 29"", ""phone"": ""3955364046"", ""email"": ""email_711@example.com""}",Marketing,7197.0
41,Name_59,19.0,50000,2023-02-09,"{""address"": ""Street 3, City 4"", ""phone"": ""1401489222"", ""email"": ""email_246@example.com""}",Marketing,9194.0
42,Name_511,72.0,,2024-11-30,,HR,8268.0
43,Name_682,73.0,50000,2020-10-13,"{""address"": ""Street 94, City 1"", ""phone"": ""1032906367"", ""email"": ""email_543@example.com""}",HR,8176.0
44,Name_476,47.0,,2019-02-07,"{""address"": ""Street 96, City 41"", ""phone"": ""7666651244"", ""email"": ""email_290@example.com""}",Marketing,5250.0
45,Name_700,,60000,2023-09-17,"{""address"": ""Street 31, City 42"", ""phone"": ""2292133329"", ""email"": ""email_529@example.com""}",Marketing,8869.0
46,Name_976,63.0,70000,2018-11-16,"{""address"": ""Street 9, City 31"", ""phone"": ""6628205952"", ""email"": ""email_172@example.com""}",Finance,8005.0
47,Name_783,28.0,,2017-06-19,"{""address"": ""Street 54, City 31"", ""phone"": ""5686068763"", ""email"": ""email_748@example.com""}",Marketing,
48,Name_190,72.0,50000,2018-12-16,"{""address"": ""Street 2, City 20"", ""phone"": ""5977008674"", ""email"": ""email_219@example.com""}",IT,5292.0
49,Name_958,60.0,70000,2025-06-09,"{""address"": ""Street 57, City 25"", ""phone"": ""1109433718"", ""email"": ""email_7@example.com""}",Marketing,7921.0
